"Story","Title","Result","Date","Stability","Duration (s)"
"Compra de articulos en PC Factory","Compra en PC Factory","SUCCESS","2023-03-08T18:49:05.2066906-05:00[America/Bogota]","0.0","62.12"
"Compra de articulos en PC Factory","Compra en PC Factory validacion monto total","SUCCESS","2023-03-08T18:50:08.1544933-05:00[America/Bogota]","0.0","37.01"
