"Story","Title","Result","Date","Stability","Duration (s)"
"Pruebas de servicios Rest","Crear mascotas en petstore","SUCCESS","2023-03-09T20:42:30.8660962-05:00[America/Bogota]","0.0","5.58"
"Pruebas de servicios Rest","Consultar mascotas en petstore","SUCCESS","2023-03-09T20:42:36.4580104-05:00[America/Bogota]","0.0","1.24"
